164,Италия,Фехтование,5
165,Румыния,Спортивная гимнастика,5
166,СССР,Биатлон,5
167,США,Теннис,5
168,Канада,Хоккей с шайбой,5
169,Новая Зеландия,Гребля на байдарках и каноэ,5
170,Куба,Фехтование,5
171,Китай,Прыжки в воду,5
172,Канада,Хоккей с шайбой,5
173,США,Лёгкая атлетика,5
174,США,Плавание,5
175,Великобритания,Парусный спорт,5
176,США,Лёгкая атлетика,5
177,Венгрия,Фехтование,6
178,ФРГ Германия,Конный спорт,5
179,Германия,Академическая гребля,5
180,Италия,Спортивная гимнастика,5
181,Китай,Спортивная гимнастика,5
182,США,Плавание,5
183,Объединённая команда Россия,Фехтование,5
184,США,Лёгкая атлетика,5
185,Румыния,Академическая гребля,5
186,США,Велосипедный спорт,5
187,Республика Корея,Шорт-трек,5
188,США,Баскетбол,5
189,Швейцария,Прыжки на лыжах с трамплина,4
190,Нидерланды,Лёгкая атлетика,4
191,Швеция,Лыжные гонки,4
192,ГДР,Лёгкая атлетика,4
193,Финляндия,Лёгкая атлетика,4
194,Венгрия,Плавание,4
195,США,Лёгкая атлетика,4
196,Китай,Настольный теннис,4
197,США,Лёгкая атлетика,4
198,Россия,Синхронное плавание,4
199,Япония,Вольная борьба,4
200,Австралия,Лёгкая атлетика,4
201,Швейцария,Лыжные гонки,4
202,Польша,Лёгкая атлетика,4
203,США,Плавание,4
204,СССР,Фехтование,4
205,США,Лёгкая атлетика,4
206,США,Баскетбол,4
207,США,Баскетбол,4
208,Куба,Греко-римская борьба,4
209,США,Прыжки в воду,4
210,Германия,Бобслей,4
211,США,Лёгкая атлетика,4
212,США,Лёгкая атлетика,4
213,Италия,Фехтование,4
214,Великобритания,Академическая гребля,4
215,Великобритания,"Водное поло, Плавание",4
216,СССР,Плавание,4
217,Швеция,Конный спорт,4
218,США,Теннис,4
219,Германия,Конный спорт,4
220,Канада,Хоккей с шайбой,4
221,Великобритания,Лёгкая атлетика,4
222,США,Баскетбол,4
223,Германия,Бобслей,4
224,Венгрия,Фехтование,4
225,Китай,Настольный теннис,4
226,Китай,Прыжки в воду,4
227,Германия,"Спортивная гимнастика, борьба",4
228,Дания,Парусный спорт,4
