71,Кристина Эгерсеги,Венгрия,Плавание,1988—1996,5,1,1,7
72,У Минься,Китай,Прыжки в воду,2004—2016,5,1,1,7
73,Дана Воллмер,США,Плавание,2004—2016,5,1,1,7
74,Томас Альсгорд,Норвегия,Лыжные гонки,1994—2002,5,1,0,6
75,Лора Кенни,Великобритания,Велосипедный спорт,2012—2016,5,1,0,6
76,Нелли Ким,СССР,Спортивная гимнастика,1976—1980,5,1,0,6
77,Оле Лилло-Ольсен,Норвегия,Стрелковый спорт,1920—1924,5,1,0,6
78,Элейн Томпсон-Хера,Ямайка,Лёгкая атлетика,2016—2020,5,1,0,6
79,Антон Хейда,США,Спортивная гимнастика,1904,5,1,0,6
80,Дон Шолландер,США,Плавание,1964—1968,5,1,0,6
81,Мисси Франклин,США,Плавание,2012—2016,5,0,1,6
82,Бонни Блэйр,США,Конькобежный спорт,1988—1994,5,0,1,6
83,Джонни Вайсмюллер,США,"Плавание, Водное поло",1924—1928,5,0,1,6
84,Джорджета Дамьян,Румыния,Академическая гребля,2000—2008,5,0,1,6
85,Лиза Кэррингтон,Новая Зеландия,Гребля на байдарках и каноэ,2012—2020,5,0,1,6
86,Альфред Лэйн,США,Стрелковый спорт,1912—1920,5,0,1,6
87,Стив Редгрейв,Великобритания,Академическая гребля,1984—2000,5,0,1,6
88,Цзоу Кай,Китай,Спортивная гимнастика,2004—2012,5,0,1,6
89,Сью Бёрд,США,Баскетбол,2004—2020,5,0,0,5
90,Анастасия Давыдова,Россия,Синхронное плавание,2004—2012,5,0,0,5
91,Наталья Ищенко,Россия,Синхронное плавание,2008—2016,5,0,0,5
92,Ма Лун,Китай,Настольный теннис,2012—2020,5,0,0,5
93,Дайана Таурази,США,Баскетбол,2004—2020,5,0,0,5
94,Моррис Фишер,США,Стрелковый спорт,1920—1924,5,0,0,5
95,Эрик Хайден,США,Конькобежный спорт,1980,5,0,0,5
96,Чэнь Жолинь,Китай,Прыжки в воду,2008—2016,5,0,0,5
97,Раиса Сметанина,СССР Объединённая команда,Лыжные гонки,1976—1992,4,5,1,10
98,Александр Попов,Объединённая команда Россия,Плавание,1992—2000,4,5,0,9
99,Дара Торрес,США,Плавание,1984—2008,4,4,4,12
100,Дон Фрэйзер,Австралия,Плавание,1956—1964,4,4,0,8
101,Корнелия Эндер,ГДР,Плавание,1972—1976,4,4,0,8
102,Эллисон Шмитт,США,Плавание,2008—2020,4,3,3,10
103,Сикстен Ернберг,Швеция,Лыжные гонки,1956—1964,4,3,2,9
104,Людмила Турищева,СССР,Спортивная гимнастика,1968—1976,4,3,2,9
105,Рикко Гросс,Германия,Биатлон,1992—2006,4,3,1,8
106,Жорж Миз,Швейцария,Спортивная гимнастика,1924—1936,4,3,1,8
107,Отто Ольсен,Норвегия,Стрелковый спорт,1920—1924,4,3,1,8
108,Эмиль Хегле Свендсен,Норвегия,Биатлон,2010—2018,4,3,1,8
109,Иван Пацайкин,Румыния,Гребля на байдарках и каноэ,1968—1984,4,3,0,7
110,Алексей Немов,Россия,Спортивная гимнастика,1996—2000,4,2,6,12
111,Свен Крамер,Нидерланды,Конькобежный спорт,2006—2018,4,2,3,9
112,Инге де Брюин,Нидерланды,Плавание,2000—2004,4,2,2,8
113,Галина Кулакова,СССР,Лыжные гонки,1968—1980,4,2,2,8
114,Джейсон Лезак,США,Плавание,2000—2012,4,2,2,8
115,Роланд Маттес,ГДР,Плавание,1968—1976,4,2,2,8
116,Четиль Андре Омодт,Норвегия,Горнолыжный спорт,1992—2006,4,2,2,8
117,Свен Фишер,Германия,Биатлон,1994—2006,4,2,2,8
118,Ивар Баллангруд,Норвегия,Конькобежный спорт,1928—1936,4,2,1,7
119,Эйнар Либерг,Норвегия,Стрелковый спорт,1908—1924,4,2,1,7
120,Люсьен Годен,Франция,Фехтование,1920—1928,4,2,0,6
121,Го Цзинцзин,Китай,Прыжки в воду,2000—2008,4,2,0,6
122,Йорген Гробак,Норвегия,Лыжное двоеборье,2014—2022,4,2,0,6
123,Мэтт Гриверс,США,Плавание,2008—2012,4,2,0,6
124,Джузеппе Дельфино,Италия,Фехтование,1952—1964,4,2,0,6
125,Кристиан д’Ориола,Франция,Фехтование,1948—1956,4,2,0,6
126,Ольга Корбут,СССР,Спортивная гимнастика,1972—1976,4,2,0,6
127,Яница Костелич,Хорватия,Горнолыжный спорт,2002—2006,4,2,0,6
128,Чин Джон О,Республика Корея,Стрелковый спорт,2004—2016,4,2,0,6
129,Кевин Куске,Германия,Бобслей,2002—2018,4,2,0,6
130,Джованна Триллини,Италия,Фехтование,1992—2008,4,1,3,8
131,Кейт Кэмпбелл,Австралия,Плавание,2008—2020,4,1,3,8
132,Симона Байлз,США,Спортивная гимнастика,2016—2020,4,1,2,7
133,Чарльз Дэниелс,США,Плавание,1904—1908,4,1,2,7
